FIPS,NAME,population,population_formatted,log_pop,quantile
01001,"Autauga County, Alabama",59947,"59,947",4.777774698636658,0.7222222222222222
01003,"Baldwin County, Alabama",246989,"246,989",5.392679370131183,0.909993792675357
01005,"Barbour County, Alabama",24643,"24,643",4.391711200121372,0.48044692737430167
01007,"Bibb County, Alabama",22130,"22,130",4.345001038178042,0.452203600248293
01009,"Blount County, Alabama",59518,"59,518",4.774655625862247,0.7203600248292986
01011,"Bullock County, Alabama",10058,"10,058",4.002554808148482,0.23153320918684048
01013,"Butler County, Alabama",18630,"18,630",4.270236165837012,0.39385474860335196
01015,"Calhoun County, Alabama",116090,"116,090",5.0647985521947065,0.8308504034761018
01017,"Chambers County, Alabama",34192,"34,192",4.533937206274463,0.5782122905027933
01019,"Cherokee County, Alabama",25443,"25,443",4.4055853869044945,0.49130974549968964
01021,"Chilton County, Alabama",45992,"45,992",4.662691738361882,0.6638733705772812
01023,"Choctaw County, Alabama",12380,"12,380",4.092755723597079,0.276536312849162
01025,"Clarke County, Alabama",22543,"22,543",4.353030975765281,0.4588764742396027
01027,"Clay County, Alabama",14192,"14,192",4.152074202768228,0.31440099317194287
01029,"Cleburne County, Alabama",15426,"15,426",4.188281479522667,0.33891992551210426
01031,"Coffee County, Alabama",54920,"54,920",4.739738436258237,0.7063935443823712
01033,"Colbert County, Alabama",58022,"58,022",4.763600179650431,0.7153941651148356
01035,"Conecuh County, Alabama",11275,"11,275",4.052155067199565,0.25496585971446306
01037,"Coosa County, Alabama",10300,"10,300",4.01287938717129,0.2361887026691496
01039,"Covington County, Alabama",37628,"37,628",4.575522676989739,0.6070763500931099
01041,"Crenshaw County, Alabama",13122,"13,122",4.118033128828567,0.29329608938547486
01043,"Cullman County, Alabama",90566,"90,566",4.956969982129155,0.7932960893854749
01045,"Dale County, Alabama",49599,"49,599",4.695481676490197,0.6834264432029795
01047,"Dallas County, Alabama",36858,"36,858",4.566543548452964,0.5999379267535692
01049,"DeKalb County, Alabama",72269,"72,269",4.858958054718006,0.7603972687771571
01051,"Elmore County, Alabama",89526,"89,526",4.951954031770081,0.7917442582247052
01053,"Escambia County, Alabama",36629,"36,629",4.563836918664545,0.595903165735568
01055,"Etowah County, Alabama",103105,"103,105",5.013283938717773,0.8122284295468652
01057,"Fayette County, Alabama",16053,"16,053",4.205583258640754,0.3494723774053383
01059,"Franklin County, Alabama",31966,"31,966",4.504701881045554,0.5586592178770949
01061,"Geneva County, Alabama",26887,"26,887",4.429558499461421,0.5090006207324643
01063,"Greene County, Alabama",7424,"7,424",3.8706964579892498,0.1610800744878957
01065,"Hale County, Alabama",14829,"14,829",4.171141151028382,0.3265052762259466
01067,"Henry County, Alabama",17647,"17,647",4.246695495096115,0.3789571694599628
01069,"Houston County, Alabama",108140,"108,140",5.0339903812602635,0.8202979515828678
01071,"Jackson County, Alabama",53053,"53,053",4.724718133052417,0.6977032898820609
01073,"Jefferson County, Alabama",667755,"667,755",5.8246177989849635,0.9683426443202979
01075,"Lamar County, Alabama",13693,"13,693",4.1365303235313,0.30291744258224707
01077,"Lauderdale County, Alabama",95830,"95,830",4.98150602005074,0.8004345127250155
01079,"Lawrence County, Alabama",33276,"33,276",4.522144166712047,0.5698324022346368
01081,"Lee County, Alabama",181134,"181,134",5.258002375428495,0.8823711980136562
01083,"Limestone County, Alabama",111233,"111,233",5.046237554831028,0.824643078833023
01085,"Lowndes County, Alabama",9833,"9,833",3.992730203954143,0.22656734947237742
01087,"Macon County, Alabama",18691,"18,691",4.2716557723522754,0.3950962135319677
01089,"Madison County, Alabama",405718,"405,718",5.608225346383006,0.9435133457479826
01091,"Marengo County, Alabama",18851,"18,851",4.275357431087598,0.3978895096213532
01093,"Marion County, Alabama",29184,"29,184",4.465159697646179,0.5350713842333954
01095,"Marshall County, Alabama",99748,"99,748",4.998908550507569,0.8075729360645562
01097,"Mobile County, Alabama",412590,"412,590",5.615519750314381,0.9444444444444444
01099,"Monroe County, Alabama",19388,"19,388",4.2875554106423355,0.40471756672873993
01101,"Montgomery County, Alabama",226718,"226,718",5.355487917344812,0.9022346368715084
01103,"Morgan County, Alabama",124471,"124,471",5.095071667792273,0.8376784605834885
01105,"Perry County, Alabama",8031,"8,031",3.9048236998009442,0.1765983860955928
01107,"Pickens County, Alabama",18721,"18,721",4.272352240906794,0.3957169459962756
01109,"Pike County, Alabama",32987,"32,987",4.518355985891093,0.5664183736809435
01111,"Randolph County, Alabama",22510,"22,510",4.352394787974109,0.4577901924270639
01113,"Russell County, Alabama",58811,"58,811",4.769465948560255,0.7184978274363749
01115,"St. Clair County, Alabama",94166,"94,166",4.973898734758674,0.797951582867784
01117,"Shelby County, Alabama",230211,"230,211",5.362127957860031,0.9047175667287399
01119,"Sumter County, Alabama",11878,"11,878",4.074779882331932,0.26784605834885167
01121,"Talladega County, Alabama",81021,"81,021",4.908602959388711,0.7774674115456238
01123,"Tallapoosa County, Alabama",40938,"40,938",4.612137230124581,0.6315952824332712
01125,"Tuscaloosa County, Alabama",237552,"237,552",5.375760519390959,0.9081315952824333
01127,"Walker County, Alabama",64841,"64,841",4.811856401851496,0.7364990689013036
01129,"Washington County, Alabama",15143,"15,143",4.180240600955741,0.33209186840471755
01131,"Wilcox County, Alabama",10172,"10,172",4.007449044497749,0.234016139044072
01133,"Winston County, Alabama",23682,"23,682",4.374436714981712,0.47082557417752946
02013,"Aleutians East Borough, Alaska",3491,"3,491",3.543074235033532,0.06952203600248293
02016,"Aleutians West Census Area, Alaska",5235,"5,235",3.718999637878718,0.10800744878957169
02020,"Anchorage Municipality, Alaska",288976,"288,976",5.460863278152458,0.9227188081936686
02050,"Bethel Census Area, Alaska",18394,"18,394",4.2646997921671455,0.3898199875853507
02060,"Bristol Bay Borough, Alaska",918,918,2.9633155113861114,0.009931719428926133
02063,"Chugach Census Area, Alaska",6862,"6,862",3.8365139988906716,0.14804469273743018
02066,"Copper River Census Area, Alaska",2626,"2,626",3.4194600727860704,0.049348230912476726
02068,"Denali Borough, Alaska",1969,"1,969",3.294466226161593,0.031036623215394164
02070,"Dillingham Census Area, Alaska",4724,"4,724",3.674401812845282,0.09435133457479826
02090,"Fairbanks North Star Borough, Alaska",95460,"95,460",4.97982597949814,0.7995034140285537
02100,"Haines Borough, Alaska",2086,"2,086",3.3195224490654542,0.03382991930477964
02105,"Hoonah-Angoon Census Area, Alaska",2311,"2,311",3.3639878297484915,0.040968342644320296
02110,"Juneau City and Borough, Alaska",31794,"31,794",4.502358829319633,0.5577281191806331
02122,"Kenai Peninsula Borough, Alaska",60413,"60,413",4.781137591240428,0.7237740533829919
02130,"Ketchikan Gateway Borough, Alaska",13768,"13,768",4.138902399933594,0.30415890751086283
02150,"Kodiak Island Borough, Alaska",12771,"12,771",4.106258909867408,0.2861576660459342
02158,"Kusilvak Census Area, Alaska",8176,"8,176",3.9125939977521056,0.1818746120422098
02164,"Lake and Peninsula Borough, Alaska",1013,"1,013",3.0060379549973173,0.011483550589695841
02170,"Matanuska-Susitna Borough, Alaska",112988,"112,988",5.0530361649715925,0.8274363749224084
02180,"Nome Census Area, Alaska",9866,"9,866",3.994185128202317,0.2271880819366853
02185,"North Slope Borough, Alaska",10810,"10,810",4.0338658673479,0.24581005586592178
02188,"Northwest Arctic Borough, Alaska",7441,"7,441",3.871689665685515,0.16201117318435754
02195,"Petersburg Borough, Alaska",3409,"3,409",3.5327543789924976,0.0670391061452514
02198,"Prince of Wales-Hyder Census Area, Alaska",5715,"5,715",3.7570922201189325,0.12042209807572936
02220,"Sitka City and Borough, Alaska",8368,"8,368",3.922673567858554,0.18684047175667287
02230,"Skagway Municipality, Alaska",1244,"1,244",3.095169351431755,0.01520794537554314
02240,"Southeast Fairbanks Census Area, Alaska",7068,"7,068",3.849357981661299,0.15285536933581625
02275,"Wrangell City and Borough, Alaska",2088,"2,088",3.3199384399803087,0.03414028553693358
02282,"Yakutat City and Borough, Alaska",527,527,2.722633922533812,0.002793296089385475
02290,"Yukon-Koyukuk Census Area, Alaska",5195,"5,195",3.71566914240099,0.10552451893234016
04001,"Apache County, Arizona",65341,"65,341",4.815192423308544,0.7389819987585351
04003,"Cochise County, Arizona",125566,"125,566",5.098875518374249,0.8392302917442582
04005,"Coconino County, Arizona",144508,"144,508",5.159894895733532,0.8547486033519553
04007,"Gila County, Arizona",53795,"53,795",4.730749984913417,0.7008069522036002
04009,"Graham County, Arizona",39232,"39,232",4.59365151826543,0.6201117318435754
04011,"Greenlee County, Arizona",9409,"9,409",3.973589623427257,0.2132216014897579
04012,"La Paz County, Arizona",16664,"16,664",4.221805317996549,0.3609559279950341
04013,"Maricopa County, Arizona",4559748,"4,559,748",6.658940936761984,0.9990689013035382
04015,"Mohave County, Arizona",220517,"220,517",5.343444044967659,0.9006828057107387
04017,"Navajo County, Arizona",108415,"108,415",5.0350933799785755,0.8206083178150217
04019,"Pima County, Arizona",1060490,"1,060,490",6.025506987169485,0.9863438857852266
04021,"Pinal County, Arizona",469006,"469,006",5.671179324673903,0.952513966480447
04023,"Santa Cruz County, Arizona",48926,"48,926",4.689548587446254,0.681253879577902
04025,"Yavapai County, Arizona",245480,"245,480",5.390017883772711,0.909373060211049
04027,"Yuma County, Arizona",211741,"211,741",5.32580701087293,0.8981998758535071
05001,"Arkansas County, Arkansas",16515,"16,515",4.217904874202665,0.3578522656734947
05003,"Ashley County, Arkansas",18429,"18,429",4.265525335219074,0.39013035381750466
05005,"Baxter County, Arkansas",42407,"42,407",4.62744779121837,0.6405959031657356
05007,"Benton County, Arkansas",303632,"303,632",5.482348970580035,0.9264432029795159
05009,"Boone County, Arkansas",38138,"38,138",4.581369301710106,0.6123525760397269
05011,"Bradley County, Arkansas",10208,"10,208",4.008983203815472,0.23432650527622595
05013,"Calhoun County, Arkansas",4704,"4,704",3.6725596277632757,0.09404096834264432
05015,"Carroll County, Arkansas",28626,"28,626",4.456775838007211,0.5291744258224705
05017,"Chicot County, Arkansas",9765,"9,765",3.9897167199481047,0.22377405338299194
05019,"Clark County, Arkansas",21125,"21,125",4.324817275453828,0.4379267535692117
05021,"Clay County, Arkansas",14280,"14,280",4.154758619154177,0.3159528243327126
05023,"Cleburne County, Arkansas",25226,"25,226",4.401865607199611,0.4888268156424581
05025,"Cleveland County, Arkansas",7453,"7,453",3.8723893884178207,0.16294227188081936
05027,"Columbia County, Arkansas",22349,"22,349",4.349277527467955,0.4546865301055245
05029,"Conway County, Arkansas",21054,"21,054",4.323355245756284,0.43606455617628803
05031,"Craighead County, Arkansas",113249,"113,249",5.05403821068487,0.8283674736188703
05033,"Crawford County, Arkansas",61139,"61,139",4.78632543439007,0.7265673494723774
05035,"Crittenden County, Arkansas",47266,"47,266",4.674558038842128,0.6731843575418994
05037,"Cross County, Arkansas",16543,"16,543",4.218640521413849,0.3584729981378026
05039,"Dallas County, Arkansas",6242,"6,242",3.795393334931289,0.1334574798261949
05041,"Desha County, Arkansas",10786,"10,786",4.032900678732676,0.2451893234016139
05043,"Drew County, Arkansas",17046,"17,046",4.2316479611536,0.36902545003103665
05045,"Faulkner County, Arkansas",127717,"127,717",5.106252109086288,0.8414028553693358
05047,"Franklin County, Arkansas",17326,"17,326",4.238723375395398,0.3739913097454997
05049,"Fulton County, Arkansas",12302,"12,302",4.090011024007147,0.27529484792054626
05051,"Garland County, Arkansas",100035,"100,035",5.000156317877955,0.8078833022967101
05053,"Grant County, Arkansas",18242,"18,242",4.2610962581323335,0.38640595903165736
05055,"Greene County, Arkansas",46432,"46,432",4.666826744001209,0.6688392302917443
05057,"Hempstead County, Arkansas",19508,"19,508",4.290235008727561,0.40720049658597146
05059,"Hot Spring County, Arkansas",33180,"33,180",4.520889470535162,0.569211669770329
05061,"Howard County, Arkansas",12583,"12,583",4.0998187096152305,0.28274363749224085
05063,"Independence County, Arkansas",38175,"38,175",4.581790421990248,0.6135940409683427
05065,"Izard County, Arkansas",14009,"14,009",4.146438135285774,0.3094351334574798
05067,"Jackson County, Arkansas",16712,"16,712",4.2230544131791055,0.361576660459342
05069,"Jefferson County, Arkansas",64802,"64,802",4.8115951116312,0.7355679702048417
05071,"Johnson County, Arkansas",26003,"26,003",4.415040157367443,0.4993792675356921
05073,"Lafayette County, Arkansas",6136,"6,136",3.787956123283932,0.13097454996896338
05075,"Lawrence County, Arkansas",16238,"16,238",4.210559281810724,0.3541278708876474
05077,"Lee County, Arkansas",8359,"8,359",3.9222062774390163,0.186219739292365
05079,"Lincoln County, Arkansas",12950,"12,950",4.11230330337593,0.2908131595282433
05081,"Little River County, Arkansas",11821,"11,821",4.0726909550128685,0.265983860955928
05083,"Logan County, Arkansas",21277,"21,277",4.327930804554236,0.43947858472998136
05085,"Lonoke County, Arkansas",75272,"75,272",4.876639225154536,0.7672253258845437
05087,"Madison County, Arkansas",17329,"17,329",4.238798562713917,0.3743016759776536
05089,"Marion County, Arkansas",17228,"17,228",4.236260071000829,0.3718187461204221
